32.433,-99.85,545.3
24.583,-81.683,1.8
25.788,-80.317,1.4
25.483,-80.383,1.5
25.65,-80.433,2
26.685,-80.099,3.5
26.153,-81.775,2
28.1,-80.636,6.7
29.167,-82.217,27
28.78,-81.244,14.9
30.495,-81.694,7.2
30.233,-81.667,6.1
30.4,-81.417,4.9
32.131,-81.202,8.7
32.483,-80.717,11.3
31.883,-81.567,14
26.585,-81.861,3.8
26.538,-81.757,8.2
27.963,-82.54,1.8
27.383,-82.55,9
27.983,-82.017,43
29.633,-83.105,11.6
31.153,-81.391,4.3
30.394,-84.351,17.1
29.692,-82.276,50.3
30.776,-83.274,58.7
32.689,-83.653,104.5
32.633,-83.6,89.6
30.483,-86.517,26.5
30.777,-86.519,47.1
30.35,-87.317,8.5
30.717,-87.017,60.7
30.688,-88.246,65.5
32.516,-84.942,120
32.3,-86.407,66.2
32.383,-86.35,52.1
31.857,-86.01,118.6
31.317,-85.45,122
30.049,-90.029,0.9
29.817,-90.017,0.6
30.537,-91.147,23.2
32.335,-88.751,88.1
32.55,-88.567,82.6
31.467,-89.333,91
32.32,-90.078,90.2
31.617,-91.3,83
31.182,-90.472,123.6
30.126,-93.228,2
30.199,-91.99,10.8
29.567,-90.66,3
29.952,-94.026,3.8
29.984,-95.361,27.5
29.633,-95.267,14
30.589,-96.365,100
31.236,-94.755,87.1
32.35,-95.4,166
32.447,-93.824,69.6
32.5,-93.667,50.6
31.396,-92.283,26.9
25.915,-97.423,5.7
26.23,-97.656,9.5
26.179,-98.245,30.1
27.773,-97.513,12.5
27.741,-98.025,52
27.55,-99.467,155
28.459,-99.223,144
29.544,-98.484,243.6
29.36,-99.174,281
29.383,-98.583,210.3
29.533,-98.262,221.9
30.2,-97.683,165
28.862,-96.93,33.7
28.725,-96.254,3.2
31.618,-97.228,151.9
31.083,-97.683,258
31.067,-97.833,309.4
31.15,-97.4,208
32.678,-96.868,200.4
29.378,-100.927,305.7
29.367,-100.783,329.8
31.352,-100.495,582.4
30.371,-104.017,1478
31.948,-102.209,872.4
31.78,-103.202,858.3
32.411,-99.682,544.8
32.334,-104.258,990.5
32.693,-103.213,1114
32.283,-106.917,1358
31.812,-106.377,1202.1
31.458,-109.606,1250
32.132,-110.956,777.6
32.167,-110.883,824.2
32.567,-116.967,160
32.568,-117.117,7.2
30.51,-99.766,521.5
31.317,-92.55,27
30.4,-89.067,9
30.417,-88.917,10.1
30.067,-85.583,5.2
30.417,-86.683,11.6
32.009,-81.146,13
30.967,-83.2,71
27.85,-82.517,4.3
28.233,-80.6,2.4
29.096,-111.048,191.1
28.95,-107.817,1932
28.633,-106.083,1433
28.627,-100.535,274.6
27.393,-109.833,62.5
27.969,-110.925,18
27.95,-110.767,12
25.989,-111.348,10.4
26.733,-108.283,238
26.933,-105.667,1661
25.685,-109.081,4.9
25.568,-103.411,1124.1
25.733,-100.3,515
25.866,-100.237,449.9
24.167,-110.3,18
24.073,-110.362,21
24.765,-107.475,32.9
24.124,-104.528,1860.5
23.2,-106.417,4
23.704,-98.957,232
23.767,-98.2,21
22.254,-100.931,1839.5
22.2,-97.85,25
21.419,-104.843,920.5
21.705,-102.318,1862.9
21,-101.283,1999
21.933,-99.983,983
21.317,-98.817,132
21.3,-89.65,2
20.617,-100.186,1919
20.083,-98.367,2181
20.95,-97.4,28
20.937,-89.658,11.6
19.145,-104.559,9.1
19.05,-104.317,3
19.397,-102.039,1602.6
19.277,-103.577,751.9
19.85,-101.026,1838.9
19.283,-99.683,2720
19.317,-98.25,2248
19.158,-98.371,2243.6
19.55,-96.917,1389
19.15,-96.117,16
19.817,-90.5,10.4
18.835,-99.262,1303.6
18.85,-97.1,1259
18.017,-92.95,33
18.505,-88.327,11.9
17.602,-101.461,7.9
17.55,-99.5,1265
17,-96.733,1520.6
16.75,-99.75,3
16.757,-99.754,4
16.25,-92.133,1646
14.917,-92.25,118
26.559,-78.696,2.1
25.039,-77.466,4.9
22.989,-82.409,64
23.034,-81.435,64
21.42,-77.848,125.9
19.97,-75.835,75.9
19.9,-75.15,39.9
19.3,-81.367,3.1
18.504,-77.913,1.2
17.936,-76.788,3
18.58,-72.293,37.2
19.758,-70.57,4.6
19.406,-70.605,172.2
18.43,-69.669,18
18.433,-69.883,14
18.417,-66,4
18.255,-65.641,10.1
18.336,-64.98,0
17.539,-88.308,4.6
15.317,-91.467,1901
15.731,-88.584,10.1
14.583,-90.527,1509.4
13.936,-90.836,8.8
13.699,-89.12,616
15.742,-86.853,14.9
15.776,-87.476,2.1
15.167,-87.117,670
15.453,-87.924,27.7
15.261,-83.781,8
14.9,-85.933,442
14.783,-88.783,1079
14.061,-87.217,1004
13.3,-87.183,48
12.141,-86.168,59.1
9.994,-84.209,920.8
9.95,-84.133,1019
9.958,-83.022,2.1
10.593,-85.544,82.3
9.071,-79.383,41.1
8.391,-82.435,27.1
8.086,-80.945,82.9
17.311,-62.719,51.8
17.137,-61.793,18.9
18.041,-63.109,4.3
15.547,-61.3,22.3
14.02,-60.993,6.7
13.733,-60.953,4.3
13.075,-59.492,51.5
10.595,-61.337,17.7
12.501,-70.015,18.3
12.131,-68.269,6.1
12.584,-81.711,5.8
11.12,-74.231,6.7
10.442,-75.513,1.2
10.89,-74.781,29.9
7.127,-73.185,1187.8
7.928,-72.512,334.1
6.22,-75.591,1505.7
4.813,-75.74,1346
4.702,-74.147,2548.4
3.543,-76.382,963.8
-4.193,-69.943,84.4
10.043,-69.359,622.4
10.603,-66.991,71.6
6.499,-58.254,29
5.453,-55.188,18
0.051,-51.072,17.1
-3.039,-60.05,80.5
-1.379,-48.476,16.5
-2.422,-54.793,60.4
-2.585,-44.234,54.3
-3.383,-64.724,56.1
-3.146,-59.986,81.4
-3.776,-38.533,25
-4.256,-69.936,85
-5.369,-49.138,108.8
-5.06,-42.823,66.8
-5.911,-35.248,51.5
-8.709,-63.902,89.6
-8.126,-34.924,10.1
-9.869,-67.894,193.2
-9.511,-35.792,118
-12.694,-60.098,615.1
-12.911,-38.331,19.5
-13.267,-43.417,441
-14.816,-39.033,4.6
-15.653,-56.117,188.1
-15.863,-47.913,1060.4
-16.229,-48.964,1136.3
